"Label (Grouping)","United States!!Median earnings (dollars) !!Total!!Estimate","United States!!Median earnings (dollars) !!Total!!Margin of Error","United States!!Median earnings (dollars) !!Male!!Estimate","United States!!Median earnings (dollars) !!Male!!Margin of Error","United States!!Median earnings (dollars) !!Female!!Estimate","United States!!Median earnings (dollars) !!Female!!Margin of Error","United States!!Women's earnings as a percentage of men's earnings!!Estimate","United States!!Women's earnings as a percentage of men's earnings!!Margin of Error"
"Full-time, year-round workers 16 years and over with earnings","(X)","(X)","48,745","±149","38,941","±113","79.9%","±0.3"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race--","","","","","","","",""
"        White","(X)","(X)","50,990","±58","40,425","±66","79.3%","±0.1"
"        Black or African American","(X)","(X)","37,570","±270","33,772","±318","89.9%","±1.0"
"        American Indian and Alaska Native","(X)","(X)","36,886","±655","31,191","±384","84.6%","±1.7"
"        Asian","(X)","(X)","60,425","±305","47,766","±805","79.1%","±1.3"
"        Native Hawaiian and Other Pacific Islander","(X)","(X)","37,461","±2,910","32,893","±2,255","87.8%","±7.9"
"        Some other race","(X)","(X)","31,094","±163","26,769","±223","86.1%","±0.9"
"    Two or more races","(X)","(X)","42,417","±683","36,931","±410","87.1%","±1.7"
"Hispanic or Latino origin (of any race)","(X)","(X)","32,272","±95","28,791","±230","89.2%","±0.7"
"White alone, not Hispanic or Latino","(X)","(X)","53,267","±197","41,585","±66","78.1%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over with earnings","36,129","±45","41,845","±47","30,538","±41","73.0%","±0.1"
"        Less than high school graduate","20,542","±72","24,030","±170","15,392","±98","64.1%","±0.6"
"        High school graduate (includes equivalency)","27,809","±102","32,600","±217","22,032","±71","67.6%","±0.5"
"        Some college or associate's degree","33,175","±142","41,150","±68","27,840","±138","67.7%","±0.3"
"        Bachelor's degree","50,450","±78","61,249","±108","41,570","±88","67.9%","±0.2"
"        Graduate or professional degree","66,175","±205","82,215","±228","55,702","±209","67.8%","±0.3"
"Full-time, year-round civilian workers 16 years and over with earnings","43,545","±122","49,149","±152","39,054","±115","79.5%","±0.3"
"    OCCUPATION","","","","","","","",""
