Year,Label (Grouping),United States!!Median earnings (dollars) !!Total!!Estimate,United States!!Median earnings (dollars) !!Total!!Margin of Error,United States!!Median earnings (dollars) !!Male!!Estimate,United States!!Median earnings (dollars) !!Male!!Margin of Error,United States!!Median earnings (dollars) !!Female!!Estimate,United States!!Median earnings (dollars) !!Female!!Margin of Error,United States!!Women's earnings as a percentage of men's earnings!!Estimate,United States!!Women's earnings as a percentage of men's earnings!!Margin of Error
2011,"Full-time, year-round workers 16 years and over with earnings",(X),(X),"46,993",±87,"37,133",±68,79.0%,±0.2
2011,RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,
2011,    One race--,,,,,,,,
2011,        White,(X),(X),"50,223",±62,"38,522",±125,76.7%,±0.3
2011,        Black or African American,(X),(X),"37,383",±162,"33,257",±232,89.0%,±0.7
2011,        American Indian and Alaska Native,(X),(X),"35,912",±712,"30,993",±593,86.3%,±2.2
2011,        Asian,(X),(X),"53,517","±1,189","43,335",±752,81.0%,±2.1
2011,        Native Hawaiian and Other Pacific Islander,(X),(X),"39,371","±3,000","31,938","±1,101",81.1%,±6.1
2011,        Some other race,(X),(X),"28,763",±387,"26,092",±289,90.7%,±1.5
2011,    Two or more races,(X),(X),"41,608",±481,"35,623",±449,85.6%,±1.4
2011,Hispanic or Latino origin (of any race),(X),(X),"31,118",±141,"27,860",±253,89.5%,±0.8
2011,"White alone, not Hispanic or Latino",(X),(X),"51,903",±59,"40,217",±64,77.5%,±0.2
2011,EDUCATIONAL ATTAINMENT,,,,,,,,
2011,Population 25 years and over with earnings,"34,334",±85,"40,514",±55,"29,132",±93,71.9%,±0.2
2011,    Less than high school graduate,"18,794",±102,"21,840",±98,"14,623",±139,67.0%,±0.7
2011,    High school graduate (includes equivalency),"26,699",±65,"31,730",±72,"21,682",±71,68.3%,±0.3
2011,    Some college or associate's degree,"32,321",±48,"40,248",±86,"27,330",±83,67.9%,±0.3
2011,    Bachelor's degree,"48,309",±199,"59,459",±455,"40,645",±96,68.4%,±0.5
2011,    Graduate or professional degree,"64,322",±330,"80,917",±240,"54,115",±262,66.9%,±0.4
2011,"Full-time, year-round civilian workers 16 years and over with earnings","42,008",±46,"47,233",±89,"37,199",±67,78.8%,±0.2
2011,OCCUPATION,,,,,,,,
2011,    Management occupations,"67,370",±295,"76,078",±306,"56,498",±339,74.3%,±0.5
2011,    Business and financial operations occupations,"59,027",±514,"70,392",±381,"51,630",±178,73.3%,±0.5
2011,    Computer and mathematical occupations,"75,105",±391,"77,480",±882,"67,503",±886,87.1%,±1.5
2011,    Architecture and engineering occupations,"74,900",±580,"76,394",±350,"63,599","±1,335",83.3%,±1.8
2011,"    Life, physical, and social science occupations","61,484",±471,"65,598","±1,060","56,858","±1,034",86.7%,±2.2
2011,    Community and social services occupations,"41,343",±185,"42,549",±580,"40,719",±254,95.7%,±1.5
2011,    Legal occupations,"81,373",±720,"111,693","±1,974","57,499","±1,582",51.5%,±1.7
2011,"    Education, training, and library occupations","47,310",±171,"55,234",±395,"44,671",±276,80.9%,±0.8
2011,"    Arts, design, entertainment, sports, and media occupations","50,344",±301,"52,336",±466,"45,551",±544,87.0%,±1.3
2011,    Healthcare practitioner and technical occupations,"60,142",±179,"79,829","±1,639","55,297",±278,69.3%,±1.4
2011,    Healthcare support occupations,"26,730",±161,"30,911",±385,"26,322",±170,85.2%,±1.1
