"Label (Grouping)","United States!!Median earnings (dollars) !!Total!!Estimate","United States!!Median earnings (dollars) !!Total!!Margin of Error","United States!!Median earnings (dollars) !!Male!!Estimate","United States!!Median earnings (dollars) !!Male!!Margin of Error","United States!!Median earnings (dollars) !!Female!!Estimate","United States!!Median earnings (dollars) !!Female!!Margin of Error","United States!!Women's earnings as a percentage of men's earnings!!Estimate","United States!!Women's earnings as a percentage of men's earnings!!Margin of Error"
"Full-time, year-round workers 16 years and over with earnings","(X)","(X)","50,586","±54","40,626","±53","80.3%","±0.1"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race--","","","","","","","",""
"        White","(X)","(X)","52,102","±54","41,607","±57","79.9%","±0.1"
"        Black or African American","(X)","(X)","39,431","±483","35,382","±126","89.7%","±1.1"
"        American Indian and Alaska Native","(X)","(X)","37,128","±566","32,379","±460","87.2%","±1.8"
"        Asian","(X)","(X)","63,239","±1,622","50,831","±266","80.4%","±2.0"
"        Native Hawaiian and Other Pacific Islander","(X)","(X)","41,837","±854","33,453","±2,687","80.0%","±6.2"
"        Some other race","(X)","(X)","32,010","±152","28,063","±416","87.7%","±1.3"
"    Two or more races","(X)","(X)","45,860","±578","39,556","±732","86.3%","±1.9"
"Hispanic or Latino origin (of any race)","(X)","(X)","35,069","±134","30,482","±117","86.9%","±0.4"
"White alone, not Hispanic or Latino","(X)","(X)","56,386","±111","43,346","±177","76.9%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over with earnings","37,842","±103","44,611","±213","31,711","±41","71.1%","±0.3"
"        Less than high school graduate","21,839","±73","25,943","±109","16,618","±105","64.1%","±0.5"
"        High school graduate (includes equivalency)","29,969","±121","35,247","±97","23,010","±125","65.3%","±0.4"
"        Some college or associate's degree","35,406","±57","42,071","±75","29,854","±137","71.0%","±0.4"
"        Bachelor's degree","51,676","±67","63,113","±540","43,047","±250","68.2%","±0.7"
"        Graduate or professional degree","70,121","±148","86,879","±382","58,724","±456","67.6%","±0.6"
"Full-time, year-round civilian workers 16 years and over with earnings","45,860","±66","50,741","±54","40,675","±54","80.2%","±0.1"
"    OCCUPATION","","","","","","","",""
"        Management occupations","73,688","±473","81,829","±235","62,254","±175","76.1%","±0.3"
"        Business and financial operations occupations","63,511","±458","74,011","±863","56,897","±298","76.9%","±1.0"
"        Computer and mathematical occupations","81,760","±262","85,427","±389","72,472","±668","84.8%","±0.8"
"        Architecture and engineering occupations","81,125","±294","82,192","±323","71,072","±864","86.5%","±1.1"
"        Life, physical, and social science occupations","65,257","±664","70,191","±1,097","60,646","±505","86.4%","±1.5"
"        Community and social services occupations","44,265","±463","45,984","±436","42,947","±581","93.4%","±1.6"
"        Legal occupations","86,747","±847","121,654","±840","65,014","±1,253","53.4%","±1.1"
"        Education, training, and library occupations","49,619","±286","56,876","±366","46,403","±196","81.6%","±0.6"
"        Arts, design, entertainment, sports, and media occupations","51,760","±270","55,625","±706","48,440","±1,001","87.1%","±2.0"
"        Healthcare practitioner and technical occupations","61,813","±160","81,023","±519","58,404","±666","72.1%","±1.0"
"        Healthcare support occupations","28,085","±279","31,269","±432","27,470","±186","87.9%","±1.3"
"        Protective service occupations","50,773","±260","52,217","±293","41,504","±405","79.5%","±0.9"
"        Food preparation and serving related occupations","22,544","±154","24,935","±255","21,224","±109","85.1%","±1.0"
"        Building and grounds cleaning and maintenance occupations","26,420","±132","30,043","±169","21,933","±137","73.0%","±0.6"
"        Personal care and service occupations","25,119","±169","30,831","±286","23,318","±267","75.6%","±1.2"
"        Sales and related occupations","43,647","±616","51,791","±163","34,226","±557","66.1%","±1.1"
"        Office and administrative support occupations","36,290","±66","40,053","±193","35,548","±75","88.8%","±0.5"
"        Farming, fishing, and forestry occupations","26,661","±274","28,231","±665","21,214","±346","75.1%","±2.1"
"        Construction and extraction occupations","40,852","±129","40,926","±130","35,859","±1,080","87.6%","±2.6"
"        Installation, maintenance, and repair occupations","45,939","±224","46,092","±220","40,827","±759","88.6%","±1.7"
"        Production occupations","36,773","±117","40,898","±105","28,241","±344","69.1%","±0.9"
"        Transportation occupations","41,788","±165","42,389","±187","31,991","±372","75.5%","±1.0"
"        Material moving occupations","30,616","±141","31,564","±151","25,006","±359","79.2%","±1.2"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting","31,717","±204","32,458","±541","25,860","±532","79.7%","±2.3"
"    Mining, quarrying, and oil and gas extraction","71,550","±663","72,563","±1,860","61,455","±1,133","84.7%","±2.6"
"    Construction","42,702","±549","43,015","±636","42,011","±314","97.7%","±1.5"
"    Manufacturing","49,004","±287","51,624","±114","39,859","±382","77.2%","±0.8"
"    Wholesale trade","50,014","±404","51,493","±220","42,129","±326","81.8%","±0.7"
"    Retail trade","33,691","±338","37,991","±430","30,172","±131","79.4%","±0.9"
"    Transportation and warehousing","47,071","±253","50,018","±323","40,871","±286","81.7%","±0.7"
"    Utilities","70,512","±512","72,454","±1,181","60,152","±1,715","83.0%","±2.8"
"    Information","61,488","±307","67,860","±1,325","52,155","±395","76.9%","±1.7"
"    Finance and insurance","60,762","±213","82,432","±848","49,816","±491","60.4%","±0.9"
"    Real estate and rental and leasing","46,983","±388","50,480","±338","42,463","±832","84.1%","±1.6"
"    Professional, scientific, and technical services","74,445","±625","86,651","±419","58,404","±823","67.4%","±1.0"
"    Management of companies and enterprises","70,218","±2,568","89,406","±5,531","58,830","±3,532","65.8%","±5.5"
"    Administrative and support and waste management services","32,422","±179","34,709","±600","31,279","±216","90.1%","±1.6"
"    Educational services","49,550","±260","53,866","±486","46,802","±158","86.9%","±0.8"
"    Health care and social assistance","41,938","±96","55,986","±397","40,043","±121","71.5%","±0.5"
"    Arts, entertainment, and recreation","36,961","±275","40,224","±346","33,709","±1,030","83.8%","±2.6"
"    Accommodation and food services","25,853","±137","28,026","±417","23,076","±269","82.3%","±1.5"
"    Other services (except public administration)","35,275","±150","39,858","±509","30,634","±187","76.9%","±1.2"
"    Public administration","57,392","±267","63,891","±666","50,446","±243","79.0%","±0.9"
"CLASS OF WORKER","","","","","","","",""
"    Employee of private company workers","42,457","±53","49,010","±213","37,177","±70","75.9%","±0.3"
"    Self employed in own incorporated business workers","60,847","±246","65,096","±952","47,459","±1,054","72.9%","±1.8"
"    Private not-for-profit wage and salary workers","49,716","±279","54,595","±606","46,381","±180","85.0%","±1.0"
"    Local government workers","50,499","±119","55,040","±363","46,400","±203","84.3%","±0.6"
"    State government workers","50,232","±158","55,612","±425","46,335","±237","83.3%","±0.8"
"    Federal government workers","66,069","±366","70,273","±364","61,229","±323","87.1%","±0.6"
"    Self employed in own not incorporated business workers and unpaid family workers","35,293","±196","39,627","±857","28,012","±890","70.7%","±2.8"
"PERCENT ALLOCATED","","","","","","","",""
"    Earnings in the past 12 months","20.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Race","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Hispanic or Latino origin","1.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Educational attainment","7.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Occupation","11.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Industry","10.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Class of worker","9.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
