"Label (Grouping)","United States!!Median earnings (dollars)!!Total!!Estimate","United States!!Median earnings (dollars)!!Total!!Margin of Error","United States!!Median earnings (dollars)!!Male!!Estimate","United States!!Median earnings (dollars)!!Male!!Margin of Error","United States!!Median earnings (dollars)!!Female!!Estimate","United States!!Median earnings (dollars)!!Female!!Margin of Error","United States!!Women's earnings as a percentage of men's earnings!!Estimate","United States!!Women's earnings as a percentage of men's earnings!!Margin of Error"
"Full-time, year-round workers 16 years and over with earnings","48,328","±126","52,004","±62","42,238","±62","81.2%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race--","","","","","","","",""
"            White","(X)","(X)","55,608","±117","44,573","±147","80.2%","±0.3"
"            Black or African American","(X)","(X)","41,054","±172","36,695","±173","89.4%","±0.5"
"            American Indian and Alaska Native","(X)","(X)","39,562","±1,054","34,466","±811","87.1%","±3.1"
"            Asian","(X)","(X)","69,716","±1,182","53,926","±1,035","77.4%","±1.8"
"            Native Hawaiian and Other Pacific Islander","(X)","(X)","41,211","±1,081","36,730","±1,191","89.1%","±3.3"
"            Some other race","(X)","(X)","36,083","±209","30,819","±208","85.4%","±0.6"
"        Two or more races","(X)","(X)","48,945","±974","41,107","±405","84.0%","±1.7"
"        Hispanic or Latino origin (of any race)","(X)","(X)","37,873","±302","32,113","±109","84.8%","±0.7"
"        White alone, not Hispanic or Latino","(X)","(X)","60,350","±74","46,675","±92","77.3%","±0.2"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over with earnings","40,867","±44","47,428","±89","34,309","±105","72.3%","±0.2"
"        Less than high school graduate","24,530","±134","29,267","±224","18,518","±161","63.3%","±0.7"
"        High school graduate (includes equivalency)","31,269","±58","36,976","±91","25,022","±105","67.7%","±0.3"
"        Some college or associate's degree","36,854","±62","45,255","±137","31,018","±60","68.5%","±0.3"
"        Bachelor's degree","54,628","±220","66,710","±177","46,316","±129","69.4%","±0.3"
"        Graduate or professional degree","72,492","±246","91,217","±265","61,737","±137","67.7%","±0.2"
"Full-time, year-round civilian workers 16 years and over with earnings","48,565","±125","52,144","±61","42,295","±63","81.1%","±0.1"
"    OCCUPATION","","","","","","","",""
"        Management occupations","76,221","±239","85,289","±421","64,685","±652","75.8%","±0.8"
"        Business and financial operations occupations","69,520","±593","79,998","±630","61,601","±227","77.0%","±0.7"
"        Computer and mathematical occupations","85,063","±540","89,396","±944","75,914","±548","84.9%","±1.1"
"        Architecture and engineering occupations","82,281","±290","85,119","±531","73,701","±1,594","86.6%","±1.8"
"        Life, physical, and social science occupations","68,191","±1,127","71,923","±712","63,226","±1,672","87.9%","±2.4"
"        Community and social services occupations","46,717","±260","48,773","±668","45,904","±315","94.1%","±1.4"
"        Legal occupations","92,107","±1,027","126,800","±2,447","69,361","±1,709","54.7%","±1.6"
"        Education, training, and library occupations","51,030","±133","60,158","±391","48,123","±310","80.0%","±0.7"
"        Arts, design, entertainment, sports, and media occupations","55,897","±448","60,227","±377","51,939","±368","86.2%","±0.8"
"        Healthcare practitioner and technical occupations","64,326","±533","81,376","±588","60,940","±159","74.9%","±0.5"
"        Healthcare support occupations","29,848","±192","32,025","±328","29,172","±195","91.1%","±1.2"
"        Protective service occupations","51,926","±226","55,696","±517","42,186","±521","75.7%","±1.3"
"        Food preparation and serving related occupations","24,999","±158","26,893","±162","22,344","±121","83.1%","±0.6"
"        Building and grounds cleaning and maintenance occupations","28,659","±262","31,697","±156","23,483","±230","74.1%","±0.8"
"        Personal care and service occupations","27,687","±434","34,453","±1,281","26,103","±225","75.8%","±3.0"
"        Sales and related occupations","46,617","±187","54,754","±627","36,519","±235","66.7%","±0.9"
"        Office and administrative support occupations","39,013","±166","44,296","±520","37,220","±104","84.0%","±1.0"
"        Farming, fishing, and forestry occupations","30,365","±240","31,411","±270","22,783","±751","72.5%","±2.5"
"        Construction and extraction occupations","41,943","±130","42,023","±128","37,272","±1,038","88.7%","±2.4"
"        Installation, maintenance, and repair occupations","48,373","±441","48,691","±436","42,132","±1,092","86.5%","±2.4"
"        Production occupations","39,918","±243","42,766","±349","30,617","±161","71.6%","±0.7"
"        Transportation occupations","44,469","±529","46,008","±259","32,858","±1,312","71.4%","±2.9"
"        Material moving occupations","30,816","±103","31,792","±106","26,535","±213","83.5%","±0.7"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting","34,850","±588","36,235","±314","27,339","±795","75.4%","±2.3"
"        Mining, quarrying, and oil and gas extraction","71,727","±690","72,278","±1,162","65,814","±3,164","91.1%","±4.8"
"        Construction","46,267","±188","46,338","±211","45,621","±592","98.5%","±1.4"
"        Manufacturing","51,125","±104","54,300","±363","41,689","±174","76.8%","±0.6"
"        Wholesale trade","51,321","±192","52,918","±834","45,928","±532","86.8%","±1.7"
"        Retail trade","35,674","±136","40,272","±161","31,452","±119","78.1%","±0.4"
"        Transportation and warehousing","48,610","±446","50,736","±167","41,252","±310","81.3%","±0.6"
"        Utilities","74,615","±1,217","77,233","±719","62,599","±2,253","81.1%","±2.9"
"        Information","66,049","±447","72,068","±429","56,146","±819","77.9%","±1.2"
"        Finance and insurance","65,078","±509","87,198","±706","52,061","±219","59.7%","±0.5"
"        Real estate and rental and leasing","50,810","±236","52,371","±649","46,916","±479","89.6%","±1.4"
"        Professional, scientific, and technical services","77,882","±737","91,269","±317","61,963","±279","67.9%","±0.3"
"        Management of companies and enterprises","73,164","±2,431","92,377","±4,419","61,054","±1,378","66.1%","±3.5"
"        Administrative and support and waste management services","35,933","±208","37,093","±269","32,733","±499","88.2%","±1.5"
"        Educational services","51,226","±112","56,463","±275","49,440","±263","87.6%","±0.6"
"        Health care and social assistance","45,319","±193","58,927","±1,119","41,690","±141","70.7%","±1.3"
"        Arts, entertainment, and recreation","39,602","±673","41,493","±343","36,153","±449","87.1%","±1.2"
