"Label (Grouping)","United States!!Median earnings (dollars) !!Total!!Estimate","United States!!Median earnings (dollars) !!Total!!Margin of Error","United States!!Median earnings (dollars) !!Male!!Estimate","United States!!Median earnings (dollars) !!Male!!Margin of Error","United States!!Median earnings (dollars) !!Female!!Estimate","United States!!Median earnings (dollars) !!Female!!Margin of Error","United States!!Women's earnings as a percentage of men's earnings!!Estimate","United States!!Women's earnings as a percentage of men's earnings!!Margin of Error"
"Full-time, year-round workers 16 years and over with earnings","(X)","(X)","48,099","±156","38,097","±137","79.2%","±0.4"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race--","","","","","","","",""
"        White","(X)","(X)","50,776","±59","39,946","±137","78.7%","±0.3"
"        Black or African American","(X)","(X)","37,290","±168","33,780","±337","90.6%","±1.0"
"        American Indian and Alaska Native","(X)","(X)","36,351","±598","31,063","±388","85.5%","±1.8"
"        Asian","(X)","(X)","59,706","±972","47,325","±361","79.3%","±1.4"
"        Native Hawaiian and Other Pacific Islander","(X)","(X)","40,817","±935","34,330","±2,297","84.1%","±5.4"
"        Some other race","(X)","(X)","30,176","±169","26,305","±228","87.2%","±0.8"
"    Two or more races","(X)","(X)","42,019","±318","36,995","±350","88.0%","±1.0"
"Hispanic or Latino origin (of any race)","(X)","(X)","31,596","±117","28,526","±262","90.3%","±0.8"
"White alone, not Hispanic or Latino","(X)","(X)","52,452","±59","41,010","±61","78.2%","±0.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over with earnings","35,597","±41","41,385","±52","30,195","±39","73.0%","±0.1"
"        Less than high school graduate","20,149","±65","23,059","±137","15,308","±89","66.4%","±0.5"
"        High school graduate (includes equivalency)","27,350","±54","32,212","±66","21,968","±58","68.2%","±0.2"
"        Some college or associate's degree","32,387","±45","40,667","±92","27,436","±63","67.5%","±0.2"
"        Bachelor's degree","50,050","±82","60,909","±121","41,110","±92","67.5%","±0.2"
"        Graduate or professional degree","65,565","±180","81,789","±223","54,916","±325","67.1%","±0.5"
"Full-time, year-round civilian workers 16 years and over with earnings","42,498","±122","48,520","±158","38,233","±136","78.8%","±0.4"
"    OCCUPATION","","","","","","","",""
"        Management occupations","70,783","±166","79,836","±643","59,964","±475","75.1%","±0.9"
"        Business and financial operations occupations","60,692","±188","70,670","±382","52,958","±549","74.9%","±0.9"
"        Computer and mathematical occupations","76,739","±318","80,509","±302","69,795","±1,069","86.7%","±1.4"
"        Architecture and engineering occupations","76,706","±342","79,244","±845","64,961","±1,491","82.0%","±1.9"
"        Life, physical, and social science occupations","62,089","±324","66,913","±747","57,617","±1,206","86.1%","±2.1"
"        Community and social services occupations","42,023","±216","43,927","±958","41,485","±247","94.4%","±2.0"
"        Legal occupations","83,735","±1,918","116,689","±3,545","61,432","±675","52.6%","±1.7"
"        Education, training, and library occupations","47,331","±168","55,349","±334","44,667","±327","80.7%","±0.7"
"        Arts, design, entertainment, sports, and media occupations","50,909","±260","52,617","±1,052","47,086","±580","89.5%","±1.9"
"        Healthcare practitioner and technical occupations","61,014","±128","80,723","±690","56,710","±228","70.3%","±0.7"
"        Healthcare support occupations","27,158","±149","30,838","±367","26,743","±160","86.7%","±1.2"
"        Protective service occupations","49,316","±674","51,159","±286","40,760","±396","79.7%","±0.9"
"        Food preparation and serving related occupations","21,343","±97","22,483","±179","20,049","±147","89.2%","±0.9"
"        Building and grounds cleaning and maintenance occupations","25,267","±177","27,873","±407","20,844","±146","74.8%","±1.1"
"        Personal care and service occupations","24,051","±258","30,217","±349","22,294","±149","73.8%","±0.9"
"        Sales and related occupations","41,300","±122","50,259","±154","31,747","±149","63.2%","±0.3"
"        Office and administrative support occupations","35,120","±87","38,713","±515","33,637","±161","86.9%","±1.1"
"        Farming, fishing, and forestry occupations","25,086","±389","26,271","±366","18,998","±690","72.3%","±2.6"
"        Construction and extraction occupations","40,003","±298","40,078","±161","33,236","±2,534","82.9%","±6.4"
"        Installation, maintenance, and repair occupations","43,450","±531","43,781","±566","40,347","±924","92.2%","±2.6"
"        Production occupations","35,478","±124","39,170","±326","26,544","±136","67.8%","±0.7"
"        Transportation occupations","40,594","±144","41,222","±146","30,304","±506","73.5%","±1.3"
"        Material moving occupations","28,861","±306","30,415","±163","23,419","±441","77.0%","±1.6"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting","30,979","±250","31,794","±249","23,017","±1,068","72.4%","±3.3"
"    Mining, quarrying, and oil and gas extraction","65,421","±620","66,704","±665","55,303","±2,071","82.9%","±3.3"
"    Construction","41,301","±114","41,432","±127","39,933","±838","96.4%","±2.1"
